2265||1||2016-05-19 10:53:24||436||||20160501||||40100||||||||
2266||1||2016-05-19 11:07:35||436||||20160501||||||||||||
2266||1||2016-05-19 11:09:15||453||||20160501||||||||||||
2266||1||2016-05-19 11:13:15||452||||20160501||||||||||||
2266||1||2016-05-19 11:16:20||452||||20160501||||||||||||
2266||1||2016-05-19 11:19:33||452||||20160501||||||||||||
2266||1||2016-05-19 11:19:39||449||||20160501||||||||||||
2266||1||2016-05-19 11:20:10||425||||20160501||||||||||||
2266||1||2016-05-19 11:20:45||425||||20160501||||||||||||
2266||1||2016-05-19 11:21:12||425||||20160501||||||||||||
2261||1||2016-05-19 12:09:57||435||||20160501||||||||||||
2255||41||2016-05-19 13:09:21||||||20160501||||车||||||||
2264||1||2016-05-19 13:24:30||436||||20160501||||15330||||||||
2261||1||2016-05-19 13:43:01||435||||20160501||||||||||||
2261||1||2016-05-19 13:43:08||435||||20160501||||||||||||
2261||1||2016-05-19 13:43:43||435||||20160501||||||||||||
2261||1||2016-05-19 13:43:48||435||||20160501||||||||||||
2255||5||2016-05-19 13:43:52||22||||20160501||||||||||||
2255||5||2016-05-19 13:44:00||27||||20160501||||||||||||
2255||5||2016-05-19 13:45:53||29||||20160501||||||||||||
2261||1||2016-05-19 13:48:51||435||||20160501||||||||||||
2261||1||2016-05-19 13:50:37||435||||20160501||||2984614||||||||
2261||1||2016-05-19 13:56:01||436||||20160501||||309504||||||||
2261||1||2016-05-19 14:07:45||453||||20160501||||4819||||||||
2261||1||2016-05-19 14:13:21||436||||20160501||||25981||||||||
2261||1||2016-05-19 14:15:26||453||||20160501||||||||||||
2261||1||2016-05-19 14:16:23||434||||20160501||||983131||||||||
2261||1||2016-05-19 14:17:36||436||||20160501||||||||||||
2261||1||2016-05-19 14:21:09||434||||20160501||||||||||||
2255||1||2016-05-19 14:37:16||435||||20160501||||0153||||2016-05-19 14:50:08||1||202153
2255||1||2016-05-19 14:38:57||435||1||20160501||||||||2016-05-19 14:41:07||||
2264||5||2016-05-19 15:14:48||22||||20160501||||||||||||
2264||5||2016-05-19 15:14:50||19||||20160501||||||||||||
2264||5||2016-05-19 15:14:52||29||||20160501||||||||||||
2264||5||2016-05-19 15:14:54||29||||20160501||||||||||||
2261||1||2016-05-19 15:15:58||449||||20160501||||||||||||
2261||1||2016-05-19 15:19:57||436||||20160501||||184343||||||||
2255||1||2016-05-19 15:42:43||||||20160501||||||||||||0000
2255||1||2016-05-19 15:43:01||||||20160501||||||||||||135dfg
2261||1||2016-05-19 16:17:13||435||||20160501||||377365||||||||
2261||5||2016-05-19 16:25:51||22||||20160501||||||||||||
2261||5||2016-05-19 16:28:32||29||||20160501||||||||||||
2261||5||2016-05-19 17:14:45||29||||20160501||||||||||||
2255||1||2016-05-19 19:18:01||436||||20160501||||2711973||||2016-05-19 19:49:21||||
2255||1||2016-05-19 19:18:11||436||||20160501||||4013835||||2016-05-19 19:49:21||||
2255||1||2016-05-19 19:19:07||436||||20160501||||4472150||||2016-05-19 19:48:59||||
2264||1||2016-05-19 19:39:34||453||||20160501||||985681||||||||
2264||1||2016-05-19 19:40:15||437||||20160501||||457522||||||||
2255||1||2016-05-19 20:18:50||452||||20160501||||2476912||||2016-05-19 20:45:05||2476912||2476912
2255||1||2016-05-19 20:50:01||453||||20160501||||2864328||||||1||5215760
2255||1||2016-05-19 20:50:42||425||20||20160501||||1770064||||||66||2511080
2255||1||2016-05-19 20:51:07||425||20||20160501||||1614497||||2016-05-19 20:51:53||66||2511080
2255||1||2016-05-19 20:51:42||425||1||20160501||||1629591||||2016-05-19 20:54:35||66||2511080
2255||1||2016-05-19 20:58:18||425||41||20160501||||1809794||||||66||2511080
2255||1||2016-05-19 21:02:49||425||22||20160501||||52960||||||66||2511080
2255||1||2016-05-19 21:50:20||452||||20160501||||6426||||||1||4744360
2255||1||2016-05-19 21:54:58||453||||20160501||||577||||||1||5215760
2255||1||2016-05-19 21:58:28||425||1||20160501||||201350||||||66||2511080
2255||1||2016-05-19 22:03:36||425||1||20160501||||119748||||||66||2511080
2255||1||2016-05-19 22:23:02||445||||20160501||||1517224||||||1||2496333
2255||1||2016-05-19 22:26:28||449||||20160501||||102549||||||1||2710133
2255||1||2016-05-19 22:30:36||449||||20160501||||808231||||||1||2710133
2255||1||2016-05-19 22:57:45||432||||20160501||||291693||||||1||6280375
2267||5||2016-05-20 10:27:15||19||||20160501||||||||||||
2267||5||2016-05-20 10:27:23||22||||20160501||||||||||||
2267||5||2016-05-20 10:27:26||27||||20160501||||||||||||
2267||5||2016-05-20 10:27:29||29||||20160501||||||||||||
2267||5||2016-05-20 10:27:31||33||||20160501||||||||||||
2265||1||2016-05-20 11:22:29||436||||20160501||||2893609||||||1||5652042
2264||1||2016-05-20 11:23:00||436||||20160501||||2084256||||||1||5652042
2264||1||2016-05-20 11:23:09||436||||20160501||||2081146||||||1||5652042
2264||1||2016-05-20 11:23:25||436||||20160501||||2075284||||||1||5652042
2265||1||2016-05-20 11:24:42||432||||20160501||||2917356||||||1||6280375
2265||1||2016-05-20 11:24:51||434||||20160501||||3652||||||1||5286250
2265||1||2016-05-20 11:25:01||425||1||20160501||||1172118||||||66||2511080
2265||1||2016-05-20 11:25:17||432||||20160501||||3673||||||1||6280375
2265||1||2016-05-20 11:32:17||452||||20160501||||128||||||1||4744360
